[info]
Anlage=Kaco
Datum=120121
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR
;s;;%;V;A;W;V;A;W;°C;Wh
[Start]
03:30:00;900;7;;;;;;;;;
03:30:00;900;8;;;;;;;;;
03:30:00;900;9;;;;;;;;;
03:30:00;900;10;;;;;;;;;
03:30:00;900;12;;;;;;;;;
03:30:00;900;6;;;;;;;;;
03:30:00;900;11;;;;;;;;;
03:45:00;900;1;;;;;;;;;
03:45:00;900;2;;;;;;;;;
03:45:00;900;3;;;;;;;;;
03:45:00;900;4;;;;;;;;;
03:45:00;900;5;;;;;;;;;
03:45:00;900;7;;;;;;;;;
03:45:00;900;8;;;;;;;;;
03:45:00;900;9;;;;;;;;;
03:45:00;900;10;;;;;;;;;
03:45:00;900;12;;;;;;;;;
03:45:00;900;6;;;;;;;;;
03:45:00;900;11;;;;;;;;;
04:00:00;900;1;;;;;;;;;
04:00:00;900;2;;;;;;;;;
04:00:00;900;3;;;;;;;;;
04:00:00;900;4;;;;;;;;;
04:00:00;900;5;;;;;;;;;
04:00:00;900;7;;;;;;;;;
04:00:00;900;8;;;;;;;;;
04:00:00;900;9;;;;;;;;;
04:00:00;900;10;;;;;;;;;
04:00:00;900;12;;;;;;;;;
04:00:00;900;6;;;;;;;;;
04:00:00;900;11;;;;;;;;;
04:15:00;900;1;;;;;;;;;
04:15:00;900;2;;;;;;;;;
04:15:00;900;3;;;;;;;;;
04:15:00;900;4;;;;;;;;;
04:15:00;900;5;;;;;;;;;
04:15:00;900;7;;;;;;;;;
04:15:00;900;8;;;;;;;;;
04:15:00;900;9;;;;;;;;;
04:15:00;900;10;;;;;;;;;
04:15:00;900;12;;;;;;;;;
04:15:00;900;6;;;;;;;;;
04:15:00;900;11;;;;;;;;;
04:30:00;900;1;;;;;;;;;
04:30:00;900;2;;;;;;;;;
04:30:00;900;3;;;;;;;;;
04:30:00;900;4;;;;;;;;;
04:30:00;900;5;;;;;;;;;
04:30:00;900;7;;;;;;;;;
04:30:00;900;8;;;;;;;;;
04:30:00;900;9;;;;;;;;;
04:30:00;900;10;;;;;;;;;
04:30:00;900;12;;;;;;;;;
04:30:00;900;6;;;;;;;;;
04:30:00;900;11;;;;;;;;;
04:45:00;900;1;;;;;;;;;
04:45:00;900;2;;;;;;;;;
04:45:00;900;3;;;;;;;;;
04:45:00;900;4;;;;;;;;;
04:45:00;900;5;;;;;;;;;
04:45:00;900;7;;;;;;;;;
04:45:00;900;8;;;;;;;;;
04:45:00;900;9;;;;;;;;;
04:45:00;900;10;;;;;;;;;
04:45:00;900;12;;;;;;;;;
04:45:00;900;6;;;;;;;;;
04:45:00;900;11;;;;;;;;;
05:00:00;900;1;;;;;;;;;
05:00:00;900;2;;;;;;;;;
05:00:00;900;3;;;;;;;;;
05:00:00;900;4;;;;;;;;;
05:00:00;900;5;;;;;;;;;
05:00:00;900;7;;;;;;;;;
05:00:00;900;8;;;;;;;;;
05:00:00;900;9;;;;;;;;;
05:00:00;900;10;;;;;;;;;
05:00:00;900;12;;;;;;;;;
05:00:00;900;6;;;;;;;;;
05:00:00;900;11;;;;;;;;;
05:15:00;900;1;;;;;;;;;
05:15:00;900;2;;;;;;;;;
05:15:00;900;3;;;;;;;;;
05:15:00;900;4;;;;;;;;;
05:15:00;900;5;;;;;;;;;
05:15:00;900;7;;;;;;;;;
05:15:00;900;8;;;;;;;;;
05:15:00;900;9;;;;;;;;;
05:15:00;900;10;;;;;;;;;
05:15:00;900;12;;;;;;;;;
05:15:00;900;6;;;;;;;;;
05:15:00;900;11;;;;;;;;;
05:30:00;900;1;;;;;;;;;
05:30:00;900;2;;;;;;;;;
05:30:00;900;3;;;;;;;;;
05:30:00;900;4;;;;;;;;;
05:30:00;900;5;;;;;;;;;
05:30:00;900;7;;;;;;;;;
05:30:00;900;8;;;;;;;;;
05:30:00;900;9;;;;;;;;;
05:30:00;900;10;;;;;;;;;
05:30:00;900;12;;;;;;;;;
05:30:00;900;6;;;;;;;;;
05:30:00;900;11;;;;;;;;;
05:45:00;900;1;;;;;;;;;
05:45:00;900;2;;;;;;;;;
05:45:00;900;3;;;;;;;;;
05:45:00;900;4;;;;;;;;;
05:45:00;900;5;;;;;;;;;
05:45:00;900;7;;;;;;;;;
05:45:00;900;8;;;;;;;;;
05:45:00;900;9;;;;;;;;;
05:45:00;900;10;;;;;;;;;
05:45:00;900;12;;;;;;;;;
05:45:00;900;6;;;;;;;;;
05:45:00;900;11;;;;;;;;;
06:00:00;900;1;;;;;;;;;
06:00:00;900;2;;;;;;;;;
06:00:00;900;3;;;;;;;;;
06:00:00;900;4;;;;;;;;;
06:00:00;900;5;;;;;;;;;
06:00:00;900;7;;;;;;;;;
06:00:00;900;8;;;;;;;;;
06:00:00;900;9;;;;;;;;;
06:00:00;900;10;;;;;;;;;
06:00:00;900;12;;;;;;;;;
06:00:00;900;6;;;;;;;;;
06:00:00;900;11;;;;;;;;;
06:15:00;900;1;;;;;;;;;
06:15:00;900;2;;;;;;;;;
06:15:00;900;3;;;;;;;;;
06:15:00;900;4;;;;;;;;;
06:15:00;900;5;;;;;;;;;
06:15:00;900;7;;;;;;;;;
06:15:00;900;8;;;;;;;;;
06:15:00;900;9;;;;;;;;;
06:15:00;900;10;;;;;;;;;
06:15:00;900;12;;;;;;;;;
06:15:00;900;6;;;;;;;;;
06:15:00;900;11;;;;;;;;;
06:30:00;900;1;;336.9;0.00;0;229.6;0.00;0;9;0
06:30:00;900;2;;339.5;0.00;0;228.0;0.00;0;7;0
06:30:00;900;3;;308.5;0.00;0;229.1;0.00;0;9;0
06:30:00;900;4;;;;;;;;;
06:30:00;900;5;;314.4;0.00;0;229.4;0.00;0;6;0
06:30:00;900;7;;320.5;0.00;0;229.3;0.00;0;7;0
06:30:00;900;8;;319.4;0.00;0;228.7;0.00;0;7;0
06:30:00;900;9;;307.3;0.00;0;228.2;0.00;0;7;0
06:30:00;900;10;;317.1;0.00;0;228.4;0.00;0;7;0
06:30:00;900;12;;317.6;0.00;0;228.9;0.00;0;9;0
06:30:00;900;6;;303.7;0.00;0;229.3;0.00;0;9;0
06:30:00;900;11;;315.3;0.00;0;229.1;0.00;0;10;0
06:45:00;900;1;;371.4;0.00;0;229.5;0.00;0;10;0
06:45:00;900;2;;391.2;0.00;0;227.9;0.03;0;9;0
06:45:00;900;3;;348.3;0.00;0;228.6;0.00;0;11;0
06:45:00;900;4;;;;;;;;;
06:45:00;900;5;;340.9;0.00;0;228.9;0.00;0;8;0
06:45:00;900;7;;358.7;0.00;0;229.2;0.00;0;8;0
06:45:00;900;8;;369.8;0.00;0;228.3;0.00;0;8;0
06:45:00;900;9;;350.6;0.00;0;228.2;0.00;0;9;0
06:45:00;900;10;;359.0;0.00;0;228.6;0.00;0;9;0
06:45:00;900;12;;370.1;0.00;0;228.3;0.00;0;11;0
06:45:00;900;6;;366.5;0.00;0;228.9;0.00;0;10;0
06:45:00;900;11;;366.4;0.00;0;228.4;0.00;0;11;0
07:00:00;900;1;;400.0;0.16;57;229.0;0.35;48;11;5
07:00:00;900;2;;424.7;0.16;59;227.0;0.34;50;10;5
07:00:00;900;3;;407.1;0.06;23;227.9;0.18;18;11;6
07:00:00;900;4;;388.7;0.00;0;228.2;0.00;0;9;0
07:00:00;900;5;;403.1;0.08;29;228.1;0.22;21;9;2
07:00:00;900;7;;405.8;0.05;16;228.6;0.16;12;9;2
07:00:00;900;8;;423.8;0.01;5;227.6;0.08;2;9;0
07:00:00;900;9;;404.1;0.05;18;227.5;0.16;13;10;2
07:00:00;900;10;;424.1;0.02;7;228.2;0.10;3;10;0
07:00:00;900;12;;422.1;0.02;7;227.7;0.15;3;12;0
07:00:00;900;6;;395.8;0.11;39;228.3;0.26;33;11;3
07:00:00;900;11;;419.7;0.02;8;227.6;0.14;3;12;0
07:15:00;900;1;;359.0;1.63;585;230.9;2.54;551;12;130
07:15:00;900;2;;372.7;1.64;624;228.9;2.69;582;11;132
07:15:00;900;3;;366.3;1.48;546;229.7;2.38;520;12;125
07:15:00;900;4;;285.1;0.00;0;229.5;0.00;0;10;0
