[info]
Anlage=Kaco
Datum=120121
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;T_C;;;
;s;;%;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;°C;;;
[Start]
03:30:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:30:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:30:00;900;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:30:00;900;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:30:00;900;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:30:00;900;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:30:00;900;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:30:00;900;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45:00;900;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45:00;900;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45:00;900;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45:00;900;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45:00;900;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45:00;900;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00:00;900;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00:00;900;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00:00;900;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00:00;900;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00:00;900;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00:00;900;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15:00;900;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15:00;900;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15:00;900;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15:00;900;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15:00;900;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15:00;900;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:00;900;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:00;900;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:00;900;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:00;900;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:00;900;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:00;900;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:45:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:45:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:45:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:45:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:45:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:45:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
