[info]
Anlage=Maris Kalogerakis Sitanos
Datum=120121
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR
;s;;%;V;A;W;V;A;W;°C;Wh
[Start]
01:10:00;300;6;;;;;;;;;
01:10:00;300;7;;;;;;;;;
01:10:00;300;8;;;;;;;;;
01:10:00;300;9;;;;;;;;;
01:10:00;300;10;;;;;;;;;
01:10:00;300;11;;;;;;;;;
01:10:00;300;12;;;;;;;;;
01:15:00;300;1;;;;;;;;;
01:15:00;300;2;;;;;;;;;
01:15:00;300;3;;;;;;;;;
01:15:00;300;4;;;;;;;;;
01:15:00;300;5;;;;;;;;;
01:15:00;300;6;;;;;;;;;
01:15:00;300;7;;;;;;;;;
01:15:00;300;8;;;;;;;;;
01:15:00;300;9;;;;;;;;;
01:15:00;300;10;;;;;;;;;
01:15:00;300;11;;;;;;;;;
01:15:00;300;12;;;;;;;;;
01:20:00;300;1;;;;;;;;;
01:20:00;300;2;;;;;;;;;
01:20:00;300;3;;;;;;;;;
01:20:00;300;4;;;;;;;;;
01:20:00;300;5;;;;;;;;;
01:20:00;300;6;;;;;;;;;
01:20:00;300;7;;;;;;;;;
01:20:00;300;8;;;;;;;;;
01:20:00;300;9;;;;;;;;;
01:20:00;300;10;;;;;;;;;
01:20:00;300;11;;;;;;;;;
01:20:00;300;12;;;;;;;;;
01:25:00;300;1;;;;;;;;;
01:25:00;300;2;;;;;;;;;
01:25:00;300;3;;;;;;;;;
01:25:00;300;4;;;;;;;;;
01:25:00;300;5;;;;;;;;;
01:25:00;300;6;;;;;;;;;
01:25:00;300;7;;;;;;;;;
01:25:00;300;8;;;;;;;;;
01:25:00;300;9;;;;;;;;;
01:25:00;300;10;;;;;;;;;
01:25:00;300;11;;;;;;;;;
01:25:00;300;12;;;;;;;;;
01:30:00;300;1;;;;;;;;;
01:30:00;300;2;;;;;;;;;
01:30:00;300;3;;;;;;;;;
01:30:00;300;4;;;;;;;;;
01:30:00;300;5;;;;;;;;;
01:30:00;300;6;;;;;;;;;
01:30:00;300;7;;;;;;;;;
01:30:00;300;8;;;;;;;;;
01:30:00;300;9;;;;;;;;;
01:30:00;300;10;;;;;;;;;
01:30:00;300;11;;;;;;;;;
01:30:00;300;12;;;;;;;;;
01:35:00;300;1;;;;;;;;;
01:35:00;300;2;;;;;;;;;
01:35:00;300;3;;;;;;;;;
01:35:00;300;4;;;;;;;;;
01:35:00;300;5;;;;;;;;;
01:35:00;300;6;;;;;;;;;
01:35:00;300;7;;;;;;;;;
01:35:00;300;8;;;;;;;;;
01:35:00;300;9;;;;;;;;;
01:35:00;300;10;;;;;;;;;
01:35:00;300;11;;;;;;;;;
01:35:00;300;12;;;;;;;;;
01:40:00;300;1;;;;;;;;;
01:40:00;300;2;;;;;;;;;
01:40:00;300;3;;;;;;;;;
01:40:00;300;4;;;;;;;;;
01:40:00;300;5;;;;;;;;;
01:40:00;300;6;;;;;;;;;
01:40:00;300;7;;;;;;;;;
01:40:00;300;8;;;;;;;;;
01:40:00;300;9;;;;;;;;;
01:40:00;300;10;;;;;;;;;
01:40:00;300;11;;;;;;;;;
01:40:00;300;12;;;;;;;;;
01:45:00;300;1;;;;;;;;;
01:45:00;300;2;;;;;;;;;
01:45:00;300;3;;;;;;;;;
01:45:00;300;4;;;;;;;;;
01:45:00;300;5;;;;;;;;;
01:45:00;300;6;;;;;;;;;
01:45:00;300;7;;;;;;;;;
01:45:00;300;8;;;;;;;;;
01:45:00;300;9;;;;;;;;;
01:45:00;300;10;;;;;;;;;
01:45:00;300;11;;;;;;;;;
01:45:00;300;12;;;;;;;;;
01:50:00;300;1;;;;;;;;;
01:50:00;300;2;;;;;;;;;
01:50:00;300;3;;;;;;;;;
01:50:00;300;4;;;;;;;;;
01:50:00;300;5;;;;;;;;;
01:50:00;300;6;;;;;;;;;
01:50:00;300;7;;;;;;;;;
01:50:00;300;8;;;;;;;;;
01:50:00;300;9;;;;;;;;;
01:50:00;300;10;;;;;;;;;
01:50:00;300;11;;;;;;;;;
01:50:00;300;12;;;;;;;;;
01:55:00;300;1;;;;;;;;;
01:55:00;300;2;;;;;;;;;
01:55:00;300;3;;;;;;;;;
01:55:00;300;4;;;;;;;;;
01:55:00;300;5;;;;;;;;;
01:55:00;300;6;;;;;;;;;
01:55:00;300;7;;;;;;;;;
01:55:00;300;8;;;;;;;;;
01:55:00;300;9;;;;;;;;;
01:55:00;300;10;;;;;;;;;
01:55:00;300;11;;;;;;;;;
01:55:00;300;12;;;;;;;;;
02:00:00;300;1;;;;;;;;;
02:00:00;300;2;;;;;;;;;
02:00:00;300;3;;;;;;;;;
02:00:00;300;4;;;;;;;;;
02:00:00;300;5;;;;;;;;;
02:00:00;300;6;;;;;;;;;
02:00:00;300;7;;;;;;;;;
02:00:00;300;8;;;;;;;;;
02:00:00;300;9;;;;;;;;;
02:00:00;300;10;;;;;;;;;
02:00:00;300;11;;;;;;;;;
02:00:00;300;12;;;;;;;;;
02:05:00;300;1;;;;;;;;;
02:05:00;300;2;;;;;;;;;
02:05:00;300;3;;;;;;;;;
02:05:00;300;4;;;;;;;;;
02:05:00;300;5;;;;;;;;;
02:05:00;300;6;;;;;;;;;
02:05:00;300;7;;;;;;;;;
02:05:00;300;8;;;;;;;;;
02:05:00;300;9;;;;;;;;;
02:05:00;300;10;;;;;;;;;
02:05:00;300;11;;;;;;;;;
02:05:00;300;12;;;;;;;;;
02:10:00;300;1;;;;;;;;;
02:10:00;300;2;;;;;;;;;
02:10:00;300;3;;;;;;;;;
02:10:00;300;4;;;;;;;;;
02:10:00;300;5;;;;;;;;;
02:10:00;300;6;;;;;;;;;
02:10:00;300;7;;;;;;;;;
02:10:00;300;8;;;;;;;;;
02:10:00;300;9;;;;;;;;;
02:10:00;300;10;;;;;;;;;
02:10:00;300;11;;;;;;;;;
02:10:00;300;12;;;;;;;;;
02:15:00;300;1;;;;;;;;;
02:15:00;300;2;;;;;;;;;
02:15:00;300;3;;;;;;;;;
02:15:00;300;4;;;;;;;;;
02:15:00;300;5;;;;;;;;;
02:15:00;300;6;;;;;;;;;
02:15:00;300;7;;;;;;;;;
02:15:00;300;8;;;;;;;;;
02:15:00;300;9;;;;;;;;;
02:15:00;300;10;;;;;;;;;
02:15:00;300;11;;;;;;;;;
02:15:00;300;12;;;;;;;;;
02:20:00;300;1;;;;;;;;;
02:20:00;300;2;;;;;;;;;
02:20:00;300;3;;;;;;;;;
02:20:00;300;4;;;;;;;;;
02:20:00;300;5;;;;;;;;;
02:20:00;300;6;;;;;;;;;
02:20:00;300;7;;;;;;;;;
02:20:00;300;8;;;;;;;;;
02:20:00;300;9;;;;;;;;;
02:20:00;300;10;;;;;;;;;
02:20:00;300;11;;;;;;;;;
02:20:00;300;12;;;;;;;;;
02:25:00;300;1;;;;;;;;;
02:25:00;300;2;;;;;;;;;
02:25:00;300;3;;;;;;;;;
02:25:00;300;4;;;;;;;;;
02:25:00;300;5;;;;;;;;;
02:25:00;300;6;;;;;;;;;
02:25:00;300;7;;;;;;;;;
02:25:00;300;8;;;;;;;;;
02:25:00;300;9;;;;;;;;;
02:25:00;300;10;;;;;;;;;
02:25:00;300;11;;;;;;;;;
02:25:00;300;12;;;;;;;;;
02:30:00;300;1;;;;;;;;;
02:30:00;300;2;;;;;;;;;
02:30:00;300;3;;;;;;;;;
02:30:00;300;4;;;;;;;;;
02:30:00;300;5;;;;;;;;;
02:30:00;300;6;;;;;;;;;
02:30:00;300;7;;;;;;;;;
