CSV-Export;Version: 1.01;Separator: Semicolon

;SENS0700;SENS0700;SENS0700;SENS0700;SENS0700;SENS0700;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q39;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42;WRTP4Q42
;19761;19761;19761;19761;19761;19761;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110110152;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110111261;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115581;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110115583;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194;2110140194
TimeStamp;ExlSolIrr;IntSolIrr;SMA-h-On;TmpAmb C;TmpMdul C;WindVel m/s;A.Ms.Amp;A.Ms.Vol;A.Ms.Watt;A1.Ms.Amp;A2.Ms.Amp;A3.Ms.Amp;A4.Ms.Amp;A5.Ms.Amp;B.Ms.Amp;B.Ms.Vol;B.Ms.Watt;B1.Ms.Amp;Error;E-Total;GridMs.Hz;GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.TotPFPrc;Inv.TmpLimStt;InvCtl.Stt;Mode;Mt.TotOpTmh;Mt.TotTmh;Op.EvtCntUsr;Op.EvtNo;Op.GriSwStt;Op.TmsRmg;Pac;PlntCtl.Stt;Serial Number;A.Ms.Amp;A.Ms.Vol;A.Ms.Watt;A1.Ms.Amp;A2.Ms.Amp;A3.Ms.Amp;A4.Ms.Amp;A5.Ms.Amp;B.Ms.Amp;B.Ms.Vol;B.Ms.Watt;B1.Ms.Amp;Error;E-Total;GridMs.Hz;GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.TotPFPrc;Inv.TmpLimStt;InvCtl.Stt;Mode;Mt.TotOpTmh;Mt.TotTmh;Op.EvtCntUsr;Op.EvtNo;Op.GriSwStt;Op.TmsRmg;Pac;PlntCtl.Stt;Serial Number;A.Ms.Amp;A.Ms.Vol;A.Ms.Watt;A1.Ms.Amp;A2.Ms.Amp;A3.Ms.Amp;A4.Ms.Amp;A5.Ms.Amp;B.Ms.Amp;B.Ms.Vol;B.Ms.Watt;B1.Ms.Amp;Error;E-Total;GridMs.Hz;GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.TotPFPrc;Inv.TmpLimStt;InvCtl.Stt;Mode;Mt.TotOpTmh;Mt.TotTmh;Op.EvtCntUsr;Op.EvtNo;Op.GriSwStt;Op.TmsRmg;Pac;PlntCtl.Stt;Serial Number;A.Ms.Amp;A.Ms.Vol;A.Ms.Watt;A1.Ms.Amp;A2.Ms.Amp;A3.Ms.Amp;A4.Ms.Amp;A5.Ms.Amp;B.Ms.Amp;B.Ms.Vol;B.Ms.Watt;B1.Ms.Amp;Error;E-Total;GridMs.Hz;GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.TotPFPrc;Inv.TmpLimStt;InvCtl.Stt;Mode;Mt.TotOpTmh;Mt.TotTmh;Op.EvtCntUsr;Op.EvtNo;Op.GriSwStt;Op.TmsRmg;Pac;PlntCtl.Stt;Serial Number;A.Ms.Amp;A.Ms.Vol;A.Ms.Watt;A1.Ms.Amp;A2.Ms.Amp;A3.Ms.Amp;A4.Ms.Amp;A5.Ms.Amp;B.Ms.Amp;B.Ms.Vol;B.Ms.Watt;B1.Ms.Amp;Error;E-Total;GridMs.Hz;GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.TotPFPrc;Inv.TmpLimStt;InvCtl.Stt;Mode;Mt.TotOpTmh;Mt.TotTmh;Op.EvtCntUsr;Op.EvtNo;Op.GriSwStt;Op.TmsRmg;Pac;PlntCtl.Stt;Serial Number
hh:mm;W/m^2;W/m^2;h;°C;°C;m/s;A;V;W;A;A;A;A;A;A;V;W;A;;kWh;Hz;V;V;V;;;;;h;h;;;;s;W;;;A;V;W;A;A;A;A;A;A;V;W;A;;kWh;Hz;V;V;V;;;;;h;h;;;;s;W;;;A;V;W;A;A;A;A;A;A;V;W;A;;kWh;Hz;V;V;V;;;;;h;h;;;;s;W;;;A;V;W;A;A;A;A;A;A;V;W;A;;kWh;Hz;V;V;V;;;;;h;h;;;;s;W;;;A;V;W;A;A;A;A;A;A;V;W;A;;kWh;Hz;V;V;V;;;;;h;h;;;;s;W;;
00:00;0;1;3542.31;10.93;9.35;1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:05;0;0.8;3542.39;10.66;8.9;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:10;0;1;3542.47;10.78;8.77;1.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15;0;0.8;3542.55;10.58;8.84;1.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:20;0;0.91;3542.65;10.29;8.73;0.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:25;0;1;3542.73;10.52;8.57;0.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30;0;0.9;3542.81;11.13;8.84;1.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
